QPSK_sim:,136,7644,794,1426,10000
8PSK_sim:,2,758,8115,1125,10000
16QAM_sim:,13,2192,1324,6471,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9527,0.0473,0.0,0.0,1
QPSK_sim:,0.0136,0.7644,0.0794,0.1426,1
8PSK_sim:,0.0002,0.0758,0.8115,0.1125,1
16QAM_sim:,0.0013,0.2192,0.1324,0.6471,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9689,311,0,0,10000
QPSK_sim:,57,8150,604,1189,10000
8PSK_sim:,0,276,9090,634,10000
16QAM_sim:,11,2034,1157,6798,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9689,0.0311,0.0,0.0,1
QPSK_sim:,0.0057,0.815,0.0604,0.1189,1
8PSK_sim:,0.0,0.0276,0.909,0.0634,1
16QAM_sim:,0.0011,0.2034,0.1157,0.6798,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9824,176,0,0,10000
QPSK_sim:,20,8605,312,1063,10000
8PSK_sim:,0,118,9516,366,10000
16QAM_sim:,3,2014,851,7132,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9824,0.0176,0.0,0.0,1
QPSK_sim:,0.002,0.8605,0.0312,0.1063,1
8PSK_sim:,0.0,0.0118,0.9516,0.0366,1
16QAM_sim:,0.0003,0.2014,0.0851,0.7132,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9886,114,0,0,10000
QPSK_sim:,3,8984,187,826,10000
8PSK_sim:,0,45,9777,178,10000
16QAM_sim:,4,2027,825,7144,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9886,0.0114,0.0,0.0,1
QPSK_sim:,0.0003,0.8984,0.0187,0.0826,1
8PSK_sim:,0.0,0.0045,0.9777,0.0178,1
16QAM_sim:,0.0004,0.2027,0.0825,0.7144,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9966,34,0,0,10000
QPSK_sim:,3,9150,178,669,10000
8PSK_sim:,0,10,9923,67,10000
16QAM_sim:,2,1865,694,7439,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9966,0.0034,0.0,0.0,1
QPSK_sim:,0.0003,0.915,0.0178,0.0669,1
8PSK_sim:,0.0,0.001,0.9923,0.0067,1
16QAM_sim:,0.0002,0.1865,0.0694,0.7439,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9972,28,0,0,10000
QPSK_sim:,1,9431,145,423,10000
8PSK_sim:,0,4,9982,14,10000
16QAM_sim:,0,1782,633,7585,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9972,0.0028,0.0,0.0,1
QPSK_sim:,0.0001,0.9431,0.0145,0.0423,1
8PSK_sim:,0.0,0.0004,0.9982,0.0014,1
16QAM_sim:,0.0,0.1782,0.0633,0.7585,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,9997,3,0,0,10000
QPSK_sim:,0,9534,148,318,10000
8PSK_sim:,0,0,9995,5,10000
16QAM_sim:,0,1644,493,7863,10000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.9997,0.0003,0.0,0.0,1
QPSK_sim:,0.0,0.9534,0.0148,0.0318,1
8PSK_sim:,0.0,0.0,0.9995,0.0005,1
16QAM_sim:,0.0,0.1644,0.0493,0.7863,1

