16QAM_sim:,0.28295,0.3704,0.0811,0.26555,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,16255,2613,688,444,20000
QPSK_sim:,6486,7834,2192,3488,20000
8PSK_sim:,5171,7799,3208,3822,20000
16QAM_sim:,4225,7708,1894,6173,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.81275,0.13065,0.0344,0.0222,1
QPSK_sim:,0.3243,0.3917,0.1096,0.1744,1
8PSK_sim:,0.25855,0.38995,0.1604,0.1911,1
16QAM_sim:,0.21125,0.3854,0.0947,0.30865,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,16517,2673,480,330,20000
QPSK_sim:,5339,8717,2529,3415,20000
8PSK_sim:,3694,7967,4138,4201,20000
16QAM_sim:,3187,7721,2094,6998,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.82585,0.13365,0.024,0.0165,1
QPSK_sim:,0.26695,0.43585,0.12645,0.17075,1
8PSK_sim:,0.1847,0.39835,0.2069,0.21005,1
16QAM_sim:,0.15935,0.38605,0.1047,0.3499,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,16910,2618,284,188,20000
QPSK_sim:,4259,9417,2870,3454,20000
8PSK_sim:,2602,8074,5074,4250,20000
16QAM_sim:,2112,7660,2534,7694,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8455,0.1309,0.0142,0.0094,1
QPSK_sim:,0.21295,0.47085,0.1435,0.1727,1
8PSK_sim:,0.1301,0.4037,0.2537,0.2125,1
16QAM_sim:,0.1056,0.383,0.1267,0.3847,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,17118,2560,202,120,20000
QPSK_sim:,3449,9996,3030,3525,20000
8PSK_sim:,1851,7696,6278,4175,20000
16QAM_sim:,1444,7353,2638,8565,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.8559,0.128,0.0101,0.006,1
QPSK_sim:,0.17245,0.4998,0.1515,0.17625,1
8PSK_sim:,0.09255,0.3848,0.3139,0.20875,1
16QAM_sim:,0.0722,0.36765,0.1319,0.42825,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,17351,2483,100,66,20000
QPSK_sim:,2647,10831,3043,3479,20000
8PSK_sim:,1123,7185,7324,4368,20000
16QAM_sim:,914,7210,2815,9061,20000

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,0.86755,0.12415,0.005,0.0033,1
QPSK_sim:,0.13235,0.54155,0.15215,0.17395,1
8PSK_sim:,0.05615,0.35925,0.3662,0.2184,1
16QAM_sim:,0.0457,0.3605,0.14075,0.45305,1

sim,BPSK_classified,QPSK_classified,8PSK_classified,16QAM_classified,total_classified
BPSK_sim:,17499,2394,58,49,20000
QPSK_sim:,2089,11342,3054,3515,20000
